Year,CPI_Index,PC_Start_Nominal,PC_Start_Real2025,PC_Top_Nominal,PC_Top_Real2025,Met_PC_Start_Nominal,Met_PC_Start_Real2025,Met_PC_Top_Nominal,Met_PC_Top_Real2025,Sgt_Start_Nominal,Sgt_Start_Real2025,Sgt_Top_Nominal,Sgt_Top_Real2025,Insp_Start_Nominal,Insp_Start_Real2025,Insp_Top_Nominal,Insp_Top_Real2025,Supt_Start_Nominal,Supt_Start_Real2025,Supt_Top_Nominal,Supt_Top_Real2025
1999,71.5,16800,32308,26587,51129,21500,41346,34024,65431,25660,49346,29929,57556,33191,63829,37095,71337,45143,86813,56039,107767
2000,72.6,17133,32449,27114,51352,22000,41667,34798,65905,26169,49563,30522,57807,33849,64108,37830,71648,46038,87193,57150,108239
2001,74.0,17500,32517,27695,51460,22500,41807,35589,66128,27221,50580,31498,58527,34988,65011,39016,72496,47042,87409,58252,108239
2002,75.2,18000,32912,28486,52085,23000,42055,36380,66519,28272,51694,32474,59377,36128,66059,40201,73506,48046,87850,59355,108528
2003,76.2,18500,33383,29277,52829,23500,42405,37171,67074,29324,52914,33450,60359,37268,67249,41386,74679,49050,88509,60458,109094
2004,77.3,19200,34153,30385,54048,24000,42691,37962,67526,30376,54032,34426,61236,38407,68318,42572,75726,50054,89035,61560,109502
2005,78.5,19803,34687,31339,54893,28383,49715,44887,78624,31427,55047,35401,62008,39546,69268,43758,76646,51058,89433,62662,109758
2006,80.1,20500,35190,32442,55690,29000,49782,45863,78729,32479,55754,36377,62445,40686,69842,44943,77149,52062,89370,63765,109459
2007,82.1,21100,35338,33392,55924,29500,49406,46654,78136,33530,56156,37353,62558,41826,70050,46128,77255,53066,88874,64868,108640
2008,84.6,21800,35431,34500,56073,30500,49572,48235,78396,34582,56206,38329,62296,42965,69831,47314,76899,54070,87880,65970,107221
2009,86.6,22300,35407,35291,56034,31000,49221,49026,77842,35634,56578,39305,62407,44104,70027,48500,77006,55074,87444,67072,106494
2010,89.0,22800,35225,36082,55745,31500,48666,49817,76964,36685,56676,40281,62232,45244,69899,49685,76761,56078,86637,68175,105327
2011,92.8,23000,34079,36399,53932,32000,47414,50608,74985,37737,55914,41257,61130,46384,68726,50870,75373,57082,84577,69278,102648
2012,95.7,23000,33046,36399,52297,32500,46695,51399,73849,38788,55730,42232,60678,47523,68280,52056,74793,58086,83457,70380,101121
2013,98.5,19000,26523,30069,41974,30000,41878,47445,66230,39840,55614,43208,60316,48662,67929,53242,74323,59090,82486,71482,99785
2014,99.8,19000,26177,30069,41428,30500,42022,48235,66456,40892,56339,44184,60875,49802,68615,54427,74987,60094,82795,72585,100004
2015,100.0,19000,26125,30069,41345,31000,42625,49026,67411,41943,57672,45160,62095,50942,70045,55612,76466,62163,85474,74829,102890
2016,100.7,19500,26626,30860,42138,31500,43011,49817,68022,42995,58707,46136,62996,52081,71114,56798,77554,64232,87705,77073,105239
2017,103.3,19800,26355,31335,41709,32000,42594,50608,67363,44047,58630,47112,62710,53220,70840,57984,77181,66301,88252,79317,105577
2018,105.4,19971,26053,31606,41232,32500,42398,51399,67053,45098,58833,48088,62733,54360,70916,59169,77189,68370,89192,81561,106401
2019,107.5,20880,26707,33045,42267,33500,42849,52981,67766,46150,59029,49064,62756,55500,70988,60354,77197,70438,90095,83804,107191
2020,108.8,21402,27048,33871,42806,34500,43601,54563,68956,47202,59653,50040,63240,56639,71580,61540,77773,72507,91633,86048,108746
2021,111.0,21402,26511,33871,41957,34500,42736,54563,67589,48253,59773,51015,63194,57778,71572,62726,77701,74576,92380,88292,109371
2022,120.5,23556,26879,37280,42539,36500,41649,57726,65870,49305,56261,51991,59326,58918,67230,63911,72927,76645,87458,90536,103309
2023,130.4,28551,30106,45185,47645,39500,41651,62470,65871,50356,53098,52967,55851,60058,63328,65096,68640,78714,83000,92780,97832
2024,134.0,29907,30688,48231,49491,42210,43312,68130,69910,51408,52751,53943,55352,61197,62795,66282,68013,80783,82893,95024,97506
2025,137.5,31164,31164,50256,50256,44000,44000,70937,70937,53568,53568,56208,56208,63768,63768,68982,68982,84177,84177,99015,99015
